title,rating,stars
法医秦明之无声的证词,4.0分,"张雨剑,周雨彤,袁昊,肖燃,赵芮玉,李舒桐,王余阳,王海地,应昊茗,李艺彤,张雅卓"
你是我的命中注定,4.2分,"邢昭林,梁洁,傅菁,王倩,林枫松,刘雪华,刘琳,句号,李九霖"
真相2021,5.0分,陈星旭、盖玥希、许亚军、刘畅、温峥嵘、傅方俊
反转时空爱上你,1.0分,"丁炎,杨乐,吕晴,冼峻生"
上瘾,3.9分,黄景瑜，许魏洲，林枫松，陈稳
三生三世枕上书,5.7分,"迪丽热巴,高伟光,陈楚河,郭品超,刘雨欣,刘芮麟,王骁,李东恒,袁雨萱,黄俊捷"
天龙八部胡军版,4.0分,"胡军,林志颖,高虎,修庆,刘亦菲,陈好,刘涛,魏宗万,蒋欣,杨蕊,汤镇宗,舒畅,申军谊,计春华,石兰,马浴柯,李勇勇,王璐瑶,彭丹,高远,钟丽缇,阮丹宁,王祎,王海"
火红年华,4.0分,林江国/孙宁
花开山乡,4.3分,"王雷,李小萌,王瑞子,李艺科,姜彤,曹云金,邢雨静,田玲,刘辉,闫锐,胡小庭,葛四,郑玉,陈霖生,车梓茗,张宛庭,王超,李梦男,霍青,乔亦萧,赵中华,胡珂,汪影馨,"
公子倾城,5.0分,"卜冠今,王星越,聂子皓,刘一曈,战宇,张雪菡,李九霖"
食人鱼事件,4.0分,"李强,陈数,韩青,徐永革"
甜蜜计划,5.0分,"陈思诚,李彩桦,宋轶,廖学秋,周浩东"
天盛长歌凰权,2.0分,陈坤、倪妮、赵立新、倪大红
生命因你而美丽,3.0分,"袁泉,李小冉,邵兵,高鑫"
咱爸咱妈60年,2.0分,"王志飞,宁静,周野芒,肖辉,刘卫华,庄庆宁,蒋雯丽,彭心宜,王晔,徐僧,刘禹,冯静,金亿,高瑜,王媛可,王颢桦,王琦,梁嘉诚"
小鱼儿与花无缺,3.0分,"谢霆锋,张卫健,袁泉,范冰冰,徐锦江,柏雪,孔琳,刘仪伟,倪景阳,吴庆哲,黄浩然,孙菲菲,郑希怡,杨雪"
少年包青天1,1.0分,"周杰,释小龙,任泉,李冰冰,陈道明,刘怡君,刘东浒,郑佩佩,王绘春,何中华"
独夫,2.0分,"Reece,Shearsmith,Juliet,Aiderice,Sheridan,Smith"
武媚娘传奇未删减版,3.0分,"范冰冰,李治廷,张丰毅,周海媚,张钧甯"
小主别闹,2.0分,许晓诺 / 张思帆 / 王旭东 / 嘉泽
我的砍价女王,3.5分,"林更新,吴谨言,吴奇隆,王鹤润,马思超,宋奕星,陈希郡,艾晓琪"
当爱情遇上科学家,2.0分,"刘以豪,周雨彤,戴景耀,曹曦月,张珂,傅韵哲,王钧浩,李霖霏"
老婆这周要出墙,2.0分,"中山裕介,石田百合子,友坂理惠,泽村一树,西村雅彦"
夺金,3.0分,"郑凯,张逗逗,夏星,白恩,王璐,安维,董会平"
神雕侠侣,3.0分,"陈晓,陈妍希,张馨予,吴磊,杨明娜"
一纸寄风月,1.0分,赵嘉敏/朱元冰
雪豹·坚强岁月,5.0分,"张若昀,高洋,毛晓彤,吴承轩,李嘉明"
汪洋中的一条船,2.0分,"翁家明,陈美凤,于佳卉"
将军家的小狐仙,3.6分,内详
花府小姐要出逃,2.1分,董岩磊
爱的厘米,3.6分,"佟丽娅,佟大为,许娣,韩童生,檀健次,郑合惠子,左小青,涂松岩,胡可,任正斌,姜妍,盖克"
天道,4.0分,王志文/左小青/曾红生/赵会南/施大生/姚金飞/
传闻中的陈芊芊,4.4分,"赵露思,丁禹兮,盛英豪,周紫馨,权沛伦,陈名豪"
天龙八部2021,3.4分,"杨祐宁,文咏珊,白澍,张天阳,苏青,何泓姗,高泰宇,邱心志,刘玉翠,黄奕,朱珠,马雅舒,刘美彤,孙雅丽,杜厚佳,曾一萱,孟丽,于荣光,韩成才,苗皓钧,朱晓渔,沈晓"
你是我的荣耀,4.2分,"迪丽热巴,杨洋,潘粤明,胡可,王彦霖,郑合惠子,金晨,吴倩,高露,涂松岩,季肖冰,孙雅丽"
理想之城,3.8分,"孙俪,赵又廷,于和伟,陈明昊,高叶,李传缨,张澍,李洪涛,赵君,钱漪,刘泊潇,杨超越,刘奕畅,任重,张天阳,代旭,张瑶,田昊,傅首尔"
周生如故,4.0分,"任嘉伦,白鹿,王星越,李宜儒,姚奕辰,周陆啦,苏梦芸,吴曼思,刘威葳,梁爱琪,傅隽,于洋,原若航,张诚航"
悬崖,3.2分,"张嘉译,宋佳,程煜,李洪涛"
世纪突击,4.0分,孙洪涛 李进 马东延 陈果 孙岩 牛军 陈伟榕
现代美女,2.0分,"杨恭如,霍建华,王曦仪,于小伟,黎宣,翁虹,申珉熙,卢杰君,唐嫣"
